epsilon_in(e),epsilon_out(E),nanoparticle_charge(V),counterion_valency(v),total_gridpoints(g),cpmd_fake_mass(M),fake_temperature(k),R,R_v,FD,Good(1)/Bad(0),Time
160,150,-60,2,132,18,0.001,0.0016517,0.450634,-0.045559,0,39m57.788s
2,30,-100,1,1692,100,0.0025,0.0694987,6.68615,-0.045973,0,301m33.405s
2,78.5,-60,3,132,30,0.005,0.0051283,0.330685,-0.046454,0,14m59.115s
2,30,-60,3,1692,30,0.001,0.0230332,2.05129,-0.047885,0,258m37.321s
2,78.5,-60,3,752,100,0.001,0.00599951,0.552249,-0.048952,0,55m17.615s
2,78.5,-60,2,132,1,0.0025,0.00460183,0.48758,-0.049025,0,10m53.913s
160,150,-100,3,132,30,0.005,0.00302013,0.130768,-0.050214,1,43m34.722s
2,30,-60,2,752,18,0.0025,0.0103923,0.940434,-0.052762,0,59m34.273s
2,30,-60,3,1692,18,0.001,0.0197008,2.20258,-0.054731,0,258m12.329s
160,78.5,-60,1,132,6,0.0025,0.00229584,0.414168,-0.056002,0,12m21.777s
2,30,-100,1,752,3,0.005,0.0138741,0.46279,-0.05622,0,75m6.755s
2,30,-100,1,132,50,0.05,0.0277342,0.668316,-0.059724,0,15m12.070s
2,30,-100,3,1692,6,0.0025,0.033633,0.603422,-0.059763,0,261m49.269s
2,30,-100,1,132,30,0.05,0.0354761,1.06789,-0.061478,0,15m1.168s
160,78.5,-100,2,752,100,0.0025,0.00905243,0.281046,-0.062967,0,61m4.355s
160,30,-100,3,752,100,0.015,7724.2,107037,-0.063314,0,57m41.097s
160,78.5,-60,2,132,3,0.001,0.0163572,5.18235,-0.064417,0,10m28.816s
2,150,-60,3,132,30,0.0025,0.00188902,0.164625,-0.064585,0,9m42.373s
2,150,-60,3,132,36,0.0025,0.00199554,0.33525,-0.065903,0,9m49.608s
160,30,-20,2,132,100,0.005,0.010379,0.205594,-0.065921,0,9m22.888s
2,78.5,-100,2,752,18,0.0025,0.00847897,0.212708,-0.066329,0,61m53.968s
2,30,-60,2,132,3,0.015,0.00944005,0.352773,-0.066932,0,12m53.032s
2,78.5,-60,3,132,6,0.005,0.00563661,0.195819,-0.067008,0,12m42.102s
2,30,-100,1,132,18,0.05,0.0390943,1.40433,-0.070765,0,15m15.194s
2,30,-100,3,132,3,0.05,0.044619,0.652616,-0.071391,0,10m30.621s
2,78.5,-60,2,752,50,0.001,0.00332767,0.323883,-0.072321,0,62m53.123s
2,78.5,-100,1,752,100,0.0025,0.00288019,0.623681,-0.073939,0,74m49.855s
160,78.5,-100,1,752,18,0.001,0.0122879,0.932047,-0.078127,0,74m46.544s
160,78.5,-60,3,752,30,0.001,0.0126841,0.742086,-0.080919,0,57m11.308s
160,30,-20,1,132,30,0.0025,0.00909157,0.812815,-0.081622,0,10m5.766s
160,30,-60,2,752,100,0.005,0.140604,3.60551,-0.083139,0,58m49.037s
2,78.5,-60,2,752,18,0.001,0.0049174,0.156655,-0.084591,0,62m36.970s
160,78.5,-60,1,132,100,0.005,0.000946802,0.105604,-0.084837,1,12m28.877s
2,78.5,-100,2,752,30,0.0025,0.0129736,0.380574,-0.085572,0,61m52.032s
2,30,-100,3,752,50,0.015,0.0675807,1.19633,-0.087573,0,57m25.961s
160,78.5,-60,2,752,50,0.001,0.0034719,0.218104,-0.08837,0,57m44.303s
2,78.5,-60,2,132,1,0.005,0.00523634,0.389935,-0.090099,0,10m49.966s
2,78.5,-100,2,132,1,0.015,0.0134594,0.354648,-0.092082,0,13m15.794s
2,30,-100,2,1692,36,0.005,0.0383616,2.2616,-0.094966,0,270m46.263s
2,30,-100,3,1692,30,0.005,0.0418717,2.13845,-0.095829,0,262m27.574s
160,30,-100,2,752,100,0.025,0.348304,6.43249,-0.09756,0,64m11.459s
160,30,-100,3,752,18,0.015,51408.1,377222,-0.099108,0,59m50.670s
160,78.5,-60,1,132,3,0.001,0.0134094,6.53447,-0.099806,0,12m47.411s
160,150,-60,2,132,18,0.0025,0.0040437,0.396298,-0.100363,0,41m18.604s
160,150,-60,3,132,36,0.0025,0.00376477,0.182661,-0.100944,0,39m49.876s
2,78.5,-60,1,132,6,0.005,0.00292125,0.110573,-0.100948,1,12m52.818s
160,30,-100,1,1692,50,0.005,0.0517952,1.28294,-0.101546,0,301m32.863s
2,30,-60,3,752,36,0.005,0.020876,0.750604,-0.101651,0,57m3.430s
2,78.5,-100,1,132,100,0.025,0.0111223,0.573037,-0.10175,0,15m8.517s
160,78.5,-20,3,132,36,0.001,0.00264974,0.224745,-0.101855,0,11m48.159s
160,78.5,-100,3,132,36,0.015,29154.6,258596,-0.10198,0,10m47.486s
